SZLTDEP  Index,,,SZRAFCRC Index,,,SZCPIYOY Index,,,SZPUI    Index,,,SZRSRYOY Index,,
ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN,ECO_RELEASE_DT,ACTUAL_RELEASE,BN_SURVEY_MEDIAN
,,,20180907,730908,,20180108,0.8,0.8,20180103,65.2,64.5,20180201,0.6,
,,,20181005,739701,,20180212,0.7,0.8,20180201,65.3,64.2,20180301,-1.4,
,,,20181107,753258,,20180306,0.6,0.6,20180301,65.5,64,20180403,-0.2,
,,,20181207,748763,,20180405,0.8,0.7,20180403,60.3,64.3,20180502,-1.8,
,,,20190109,728962,,20180507,0.8,0.9,20180502,63.6,59.8,20180531,2.2,
,,,20190207,741474,,20180606,1,0.9,20180601,62.4,62.5,20180702,-0.1,
,,,20190307,738751,,20180705,1.1,1.1,20180702,61.6,61,20180802,0.3,
,,,20190405,756012,,20180803,1.2,1.2,20180802,61.9,60.9,20180903,-0.3,
,,,20190507,771631,,20180904,1.2,1.2,20180903,64.8,61,20181001,0.4,
,,,20190607,759913,,20181005,1,1.1,20181001,59.7,62.1,20181102,-2.7,
,,,20190705,759075,,20181101,1.1,1.1,20181101,57.4,58.7,20181203,0.8,
,,,20190807,767899,,20181204,0.9,1,20181203,57.7,56.4,20190108,-0.5,
,,,20190906,767114,,20190109,0.7,0.8,20190103,57.8,56.9,20190201,-0.3,
,,,20191007,776946,,20190211,0.6,0.6,20190201,54.3,56.4,20190301,-0.4,
,,,20191107,779100,,20190305,0.6,0.5,20190301,55.4,53.5,20190401,-0.2,
,,,20191206,782866,,20190402,0.7,0.6,20190401,50.3,53.6,20190502,-0.7,
,,,20200109,770804,,20190503,0.7,0.7,20190502,48.5,51,20190531,-0.7,
,,,20200207,764188,,20190603,0.6,0.6,20190603,48.6,48.8,20190701,-1.7,
,,,20200306,769087,,20190704,0.6,0.5,20190701,47.7,49,20190805,0.7,
,,,20200407,765626,,20190802,0.3,0.5,20190802,44.7,47.5,20190902,1.4,
,,,20200507,799861,,20190903,0.3,0.3,20190902,47.2,45.4,20191001,-1.4,
,,,20200605,816333,,20191002,0.1,0.3,20191001,44.6,46.7,20191101,0.9,
,,,20200707,850107,,20191101,-0.3,0,20191101,49.4,45.3,20191202,0.7,
,,,20200807,845797,,20191203,-0.1,-0.1,20191202,48.8,48.8,20200109,0,
,,,20200907,848314,,20200107,0.2,0,20200103,50.2,48.8,20200131,0.1,
,,,20201007,873500,,20200210,0.2,0.2,20200203,47.8,50.3,20200228,-0.1,
,,,20201106,871486,,20200304,-0.1,0.1,20200302,49.5,48,20200331,0.3,
,,,20201207,875900,,20200402,-0.5,-0.5,20200401,43.7,42.2,20200430,-5.6,
,,,20210108,891224,,20200505,-1.1,-0.9,20200504,40.7,35,20200602,-19.9,
,,,20210205,896149,,20200604,-1.3,-1.3,20200602,42.1,42,20200630,6.6,
,,,20210305,914191,,20200702,-1.3,-1.2,20200701,41.9,48,20200731,1.1,
,,,20210408,930486.07,,20200803,-0.9,-1.1,20200803,49.2,50,20200831,4.1,
,,,20210507,914079.6,,20200903,-0.9,-0.8,20200901,51.8,51.6,20201001,2.5,
,,,20210607,902465.79,,20201001,-0.8,-0.8,20201001,53.1,54,20201030,0.3,
,,,20210707,941124.82,,20201103,-0.6,-0.6,20201102,52.3,53.5,20201130,3.1,
,,,20210806,923239.86,,20201202,-0.7,-0.5,20201201,55.2,51.6,20210107,1.7,
,,,20210907,929292.25,,20210105,-0.8,-0.7,20210104,58,54.3,20210201,4.7,
,,,20211007,939800,,20210212,-0.5,-0.6,20210201,59.4,56.8,20210301,-0.5,
,,,20211105,923000,,20210303,-0.5,-0.3,20210301,61.3,60.1,20210401,-6.3,
,,,20211207,922017,,20210401,-0.2,-0.3,20210401,66.3,64.5,20210430,22.6,
,,,20220107,944531.52,,20210505,0.3,0.3,20210503,69.5,66.5,20210601,35.7,
,,,20220207,947150.02,,20210607,0.6,0.5,20210601,69.9,70,20210701,2.8,
,,,20220307,938348.73,,20210701,0.6,0.7,20210701,66.7,69.3,20210802,0.1,
,,,20220407,910500,,20210802,0.7,0.7,20210802,71.1,66,20210902,-2.6,
,,,20220506,926100,,20210902,0.9,0.7,20210901,67.7,68,20211004,0.5,
,,,20220607,925430.41,,20211004,0.9,1.1,20211001,68.1,65.5,20211102,2.5,
,,,20220707,849800,,20211102,1.2,1.1,20211101,65.4,66.5,20211202,1.2,
,,,20220805,849403.24,,20211201,1.5,1.4,20211201,62.5,64.2,20220107,5.8,
,,,20220907,859638.85,,20220104,1.5,1.5,20220103,62.7,61.3,20220201,-0.4,
,,,20221007,807129.86,,20220211,1.6,1.5,20220201,63.8,64,20220228,5.1,
,,,20221107,817156.28,,20220303,2.2,1.8,20220301,62.6,64.3,20220331,12.8,
,,,20221207,789957.92,,20220401,2.4,2.4,20220401,64,61,20220429,-6.6,
,,,20230109,784005.92,,20220505,2.5,2.6,20220502,62.5,60.4,20220531,-6,
,,,20230207,784403.76,,20220602,2.9,2.6,20220601,60,61.3,20220630,-1.6,
,,,20230307,770597.05,,20220704,3.4,3.1,20220701,59.1,58,20220729,1.2,
